iter	PRAUC	Logloss
0	0.8404478267	0.6704134581
1	0.8507679145	0.6501814131
2	0.8552968435	0.6324790565
3	0.8633283294	0.6161597975
4	0.8647772461	0.6026312996
5	0.8684704041	0.5887168321
6	0.8706304649	0.5773067357
7	0.873046633	0.5662550905
8	0.8749811045	0.5575227279
9	0.875207379	0.5489993027
10	0.8763805322	0.5421598048
11	0.878033364	0.5345359481
12	0.8786096484	0.52804983
13	0.8798590835	0.5226022507
14	0.8799059527	0.5168674871
15	0.8813655587	0.5121108527
16	0.8816238877	0.5078665075
17	0.88221059	0.5043186094
18	0.8828918761	0.5001681565
19	0.8829320443	0.496099789
20	0.8834282676	0.4924742558
21	0.8841292962	0.4892621392
22	0.8848791446	0.4865654677
23	0.8854182986	0.4835170077
24	0.8860858045	0.4808702861
25	0.8867086321	0.4783462167
26	0.8872956663	0.4760521395
27	0.8878948372	0.4740131689
28	0.8880176791	0.4716355779
29	0.8884007133	0.469706656
30	0.8888179238	0.4679591259
31	0.8892931079	0.4660136044
32	0.8895880259	0.4643656368
33	0.8900569372	0.4628414781
34	0.8900808427	0.4616480134
35	0.8903994708	0.4599431672
36	0.8906827315	0.4586625287
37	0.8911117336	0.4575263618
38	0.8918473575	0.4559711377
39	0.8927327441	0.4541525107
40	0.8930299068	0.45280429
41	0.8933242044	0.4515498311
42	0.8938640894	0.4500750179
43	0.8941911911	0.4490487592
44	0.8945742017	0.4481684551
45	0.8950750756	0.4468370541
46	0.8954027054	0.4459779188
47	0.8957464692	0.4449832208
48	0.8959657783	0.4440254903
49	0.896575262	0.442732537
50	0.8968414978	0.4414723678
51	0.8970546106	0.4408861849
52	0.8973163651	0.4401180325
53	0.8975960369	0.4394410891
54	0.8980806048	0.4384961216
55	0.8983708767	0.4376144306
56	0.8987444031	0.4368515482
57	0.8990782795	0.4360979857
58	0.8992161724	0.4352915828
59	0.8993341134	0.4346925528
60	0.8996695308	0.4340214446
61	0.8998345008	0.4336116434
62	0.900077976	0.4329587239
63	0.9002185128	0.4324272693
64	0.900539037	0.4318052345
65	0.9009321149	0.431069995
66	0.9010465555	0.4306662368
67	0.9015334991	0.42972138
68	0.9017995837	0.4292099434
69	0.9019256895	0.4287260223
70	0.9021385971	0.4281980012
71	0.9025167093	0.4275091983
72	0.9027655957	0.4269867971
73	0.9029231685	0.426495738
74	0.9031073963	0.4260266074
75	0.9034144436	0.4253585638
76	0.9036194021	0.4249496977
77	0.9037524482	0.4244297387
78	0.9039015932	0.4240013674
79	0.9041492146	0.4233485236
80	0.9043480079	0.4227709697
81	0.9044533753	0.4224915465
82	0.9048292894	0.4216661172
83	0.9050831107	0.4211218863
84	0.9052058078	0.4206448378
85	0.9053551161	0.4202673804
86	0.9056900874	0.4196714622
87	0.9059915609	0.4190722264
88	0.9063522056	0.4183875989
89	0.9067060481	0.4177753187
90	0.9069480047	0.417336058
